VTI	16021.56	210.81	2021-04-05	76
QQQJ	3931.29	32.49	2021-04-05	121
QQQ	3930.96	327.58	2021-04-05	12
ARKG	4069.8	90.44	2021-04-05	45
SCHD	4063.4	73.88	2021-04-05	55
SPY	1219.37	386.5477809	2021-03-08	3.154513
PLTR	300	29.29988511	2021-02-16	10.238948
